data_type,year,plot_id,fuel_class,value,value_si,lab_year,lab_year_abbr,lab_fuel,lab_type,subset,statistic
wd,2016,RxF05,hr1000s,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF06,hr0001,0.21771544733323261,0.4881180329211075,1 Year pre-fire (2016),1-y pre-fire (2016),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF06,hr0010,3.2498634530914305,7.286193861830986,1 Year pre-fire (2016),1-y pre-fire (2016),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF06,hr0100,3.6568406056781573,8.198636637930427,1 Year pre-fire (2016),1-y pre-fire (2016),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF06,hr1000r,11.188642648832078,25.084936818681516,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF06,hr1000s,2.799023747259375,6.275411241355519,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF07,hr0001,0.18518370163732054,0.4151818590708727,1 Year pre-fire (2016),1-y pre-fire (2016),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF07,hr0010,2.6567473725642854,5.956427609289128,1 Year pre-fire (2016),1-y pre-fire (2016),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF07,hr0100,4.407712810971283,9.882092122197617,1 Year pre-fire (2016),1-y pre-fire (2016),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF07,hr1000r,10.822280633578666,24.26355318048337,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF07,hr1000s,1.9242393857518258,4.314144702855594,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF08,hr0001,0.5343694009193463,1.1980561968611743,1 Year pre-fire (2016),1-y pre-fire (2016),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF08,hr0010,2.763216899545714,6.19513228878149,1 Year pre-fire (2016),1-y pre-fire (2016),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF08,hr0100,4.856554842909905,10.888395957804006,1 Year pre-fire (2016),1-y pre-fire (2016),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF08,hr1000r,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF08,hr1000s,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF09,hr0001,0.4565673809668229,1.0236240681276167,1 Year pre-fire (2016),1-y pre-fire (2016),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF09,hr0010,4.3573725582911145,9.76922927568868,1 Year pre-fire (2016),1-y pre-fire (2016),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF09,hr0100,2.221262294207147,4.980070063612423,1 Year pre-fire (2016),1-y pre-fire (2016),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF09,hr1000r,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF09,hr1000s,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF01,hr0001,0.12658304379316973,0.2837991841842865,0 Years post-fire (2017),0-y post-fire (2017),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF01,hr0010,0.5978316944030337,1.3403386588516015,0 Years post-fire (2017),0-y post-fire (2017),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF01,hr0100,0,0,0 Years post-fire (2017),0-y post-fire (2017),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF01,hr1000r,50.21551527225988,112.58318524040665,0 Years post-fire (2017),0-y post-fire (2017),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF01,hr1000s,0,0,0 Years post-fire (2017),0-y post-fire (2017),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF02,hr0001,0.14858726184167548,0.3331326410490364,0 Years post-fire (2017),0-y post-fire (2017),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF02,hr0010,0.6024169333437202,1.3506187645566206,0 Years post-fire (2017),0-y post-fire (2017),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF02,hr0100,0,0,0 Years post-fire (2017),0-y post-fire (2017),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF02,hr1000r,0,0,0 Years post-fire (2017),0-y post-fire (2017),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2017,RxF02,hr1000s,0,0,0 Years post-fire (2017),0-y post-fire (2017),1000-hr sound,Coarse woody debris,yr_plot_class,mean
