fuel_type,fuel_class,plot_id,n_transect,plot_tran,time,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time
wd,hr0010,RxF04,1,RxF04_1,2016,2.641981798740082,Metric tons per hectare,1.178404013711009,Tons per acre,Coarse woody debris,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),2,1
wd,hr0100,RxF04,1,RxF04_1,2016,6.54525416176974,Metric tons per hectare,2.919381874116744,Tons per acre,Coarse woody debris,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),3,1
wd,hr1000r,RxF04,1,RxF04_1,2016,57.951668146627114,Metric tons per hectare,25.84820167110933,Tons per acre,Coarse woody debris,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),4,1
wd,hr1000s,RxF04,1,RxF04_1,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),5,1
wd,hr0001,RxF04,2,RxF04_2,2016,0.5020982979873327,Metric tons per hectare,0.2239510695750815,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1
wd,hr0010,RxF04,2,RxF04_2,2016,3.9678770551410047,Metric tons per hectare,1.7697935125517417,Tons per acre,Coarse woody debris,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),2,1
wd,hr0100,RxF04,2,RxF04_2,2016,6.553354208303618,Metric tons per hectare,2.9229947405457706,Tons per acre,Coarse woody debris,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),3,1
wd,hr1000r,RxF04,2,RxF04_2,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),4,1
wd,hr1000s,RxF04,2,RxF04_2,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),5,1
wd,hr0001,RxF04,1,RxF04_1,2017,0.08849606413644806,Metric tons per hectare,0.039471928696007165,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2
wd,hr0010,RxF04,1,RxF04_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,10-hr,0 Years post-fire (2017),0-y post-fire (2017),2,2
wd,hr0100,RxF04,1,RxF04_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,0 Years post-fire (2017),0-y post-fire (2017),3,2
wd,hr1000r,RxF04,1,RxF04_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,0 Years post-fire (2017),0-y post-fire (2017),4,2
wd,hr1000s,RxF04,1,RxF04_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),5,2
wd,hr0001,RxF04,2,RxF04_2,2017,0.23628155199403894,Metric tons per hectare,0.10538873862356778,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2
wd,hr0010,RxF04,2,RxF04_2,2017,1.3226256850470015,Metric tons per hectare,0.5899311708505806,Tons per acre,Coarse woody debris,10-hr,0 Years post-fire (2017),0-y post-fire (2017),2,2
wd,hr0100,RxF04,2,RxF04_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,0 Years post-fire (2017),0-y post-fire (2017),3,2
wd,hr1000r,RxF04,2,RxF04_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,0 Years post-fire (2017),0-y post-fire (2017),4,2
wd,hr1000s,RxF04,2,RxF04_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),5,2
wd,hr0001,RxF04,1,RxF04_1,2019,0.44248032068224036,Metric tons per hectare,0.19735964348003585,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3
