fuel_type,fuel_class,plot_id,n_transect,quadrat,plot_tran,time,si_value,si_units,us_value,us_units,lab_time,lab_fuel,lab_class,lab_time_abbr,order_class,order_time
wd,hr0100,FOR10,2,NA,FOR10_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR10,2,NA,FOR10_2,t2,9.753137789709903,Metric tons per hectare,4.3501952674888065,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR10,3,NA,FOR10_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR10,3,NA,FOR10_3,t2,3.365947851279352,Metric tons per hectare,1.5013148310791045,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr1000s,FOR05,1,NA,FOR05_1,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR05,1,NA,FOR05_1,t2,275.04222058599163,Metric tons per hectare,122.67717242907744,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR05,2,NA,FOR05_2,t1,22.297156895793478,Metric tons per hectare,9.94520824968487,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR05,2,NA,FOR05_2,t2,153.64134673507695,Metric tons per hectare,68.5287005954848,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR05,3,NA,FOR05_3,t1,64.67129117685019,Metric tons per hectare,28.84535734917493,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR05,3,NA,FOR05_3,t2,553.2101121794757,Metric tons per hectare,246.74848892929333,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR06,1,NA,FOR06_1,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR06,1,NA,FOR06_1,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR06,2,NA,FOR06_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR06,2,NA,FOR06_2,t2,230.73533015842983,Metric tons per hectare,102.9149554676315,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
